id,name,code
48,National,254
47,West Pokot,24
46,Vihiga,38
45,Siaya,41
44,Nyamira,46
43,Kisii,45
42,Migori,44
41,Kisumu,42
40,Kericho,35
39,Kajiado,34
38,Narok,33
37,Nakuru,32
36,Laikipia,31
35,Baringo,30
34,Nandi,29
33,Uasin Gishu,27
32,Trans-Nzoia,26
31,Samburu,25
30,Kakamega,37
29,Turkana,23
28,Kiambu,22
27,Murang'a,21
26,Kirinyaga,20
25,Nyeri,19
24,Nyandarua ,18
23,Makueni,17
22,Kitui,15
21,Tharaka-Nithi,13
20,Meru,12
19,Isiolo,11
18,Marsabit,10
17,Mandera,9
16,Wajir,8
15,Taita Taveta,6
14,Lamu,5
13,Tana River,4
12,Kilifi,3
11,Kwale,2
10,Mombasa,1
9,Nairobi,47
8,Homabay,43
7,Garrisa,7
6,Embu,14
5,Elgeyo Marakwet,28
4,Busia,40
3,Bungoma,39
2,Bomet,36
1,Machakos,16
